"Story","Title","Result","Date","Stability","Duration (s)"
"Update Admin","As an admin I can not update admin with username of more than 16 characters","SUCCESS","2023-12-21T10:46:40.8962195+07:00[Asia/Jakarta]","0.0","0.09"
"Update Admin","As an admin I can not update admin with empty name","SUCCESS","2023-12-21T10:46:41.0032256+07:00[Asia/Jakarta]","0.0","0.33"
"Update Admin","As an admin I can not update admin with empty username","SUCCESS","2023-12-21T10:46:41.3522481+07:00[Asia/Jakarta]","0.0","0.27"
"Update Admin","As an admin I can not update admin with empty email","SUCCESS","2023-12-21T10:46:41.6372705+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-21T10:46:41.9542942+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not update admin with empty password","SUCCESS","2023-12-21T10:46:42.2573171+07:00[Asia/Jakarta]","0.0","0.28"
"Update Admin","As an admin I can not update admin with integer password","SUCCESS","2023-12-21T10:46:42.5481289+07:00[Asia/Jakarta]","0.0","0.1"
"Update Admin","As an admin I can not update admin with registered email","FAILURE","2023-12-21T10:46:42.667139+07:00[Asia/Jakarta]","0.0","0.37"
"Update Admin","As an admin I can not update admin with registered username","FAILURE","2023-12-21T10:46:43.5292011+07:00[Asia/Jakarta]","0.0","0.31"
"Update Admin","As an admin I can not update admin with post request","SUCCESS","2023-12-21T10:46:43.8702254+07:00[Asia/Jakarta]","0.0","0.11"
"Complaint Statistic","As an admin I can get complaint statistic with valid credentials","SUCCESS","2023-12-21T10:46:43.9982348+07:00[Asia/Jakarta]","0.0","0.11"
"Complaint Statistic","As an admin I can not get complaint statistic with invalid endpoint","SUCCESS","2023-12-21T10:46:44.116246+07:00[Asia/Jakarta]","0.0","0.09"
"Complaint Statistic","As an admin I can not get complaint statistic without token","SUCCESS","2023-12-21T10:46:44.2262512+07:00[Asia/Jakarta]","0.0","0.1"
"User Statistic","As an admin I can get user statistic with valid credentials","SUCCESS","2023-12-21T10:46:44.3662616+07:00[Asia/Jakarta]","0.0","0.17"
"User Statistic","As an admin I can not get user statistic with invalid endpoint","SUCCESS","2023-12-21T10:46:44.5562776+07:00[Asia/Jakarta]","0.0","0.11"
"User Statistic","As an admin I can not get user statistic without token","SUCCESS","2023-12-21T10:46:44.677286+07:00[Asia/Jakarta]","0.0","0.1"
"Create News","As an admin I can create news with valid credentials","SUCCESS","2023-12-21T10:46:44.7992982+07:00[Asia/Jakarta]","0.0","0.16"
"Create News","As an admin I cannot create news with invalid API Endpoint","SUCCESS","2023-12-21T10:46:44.9813085+07:00[Asia/Jakarta]","0.0","0.19"
"Create News","As an admin i cannot create news with invalid json data","SUCCESS","2023-12-21T10:46:45.1973247+07:00[Asia/Jakarta]","0.0","0.12"
"Create News","As an admin i cannot create news with invalid token","SUCCESS","2023-12-21T10:46:45.3423376+07:00[Asia/Jakarta]","0.0","0.11"
"Get All News","As an admin I can get all news with valid credentials","SUCCESS","2023-12-21T10:46:45.4863444+07:00[Asia/Jakarta]","0.0","0.68"
"Get All News","As an admin I cannot get all news with invalid Api Endpoint","SUCCESS","2023-12-21T10:46:46.1923961+07:00[Asia/Jakarta]","0.0","0.34"
"Get All News","As an admin I cannot get all news with invalid token","SUCCESS","2023-12-21T10:46:46.6674294+07:00[Asia/Jakarta]","0.0","0.22"
"Get All News","As an admin I cannot get all news with invalid credentials","SUCCESS","2023-12-21T10:46:46.9264497+07:00[Asia/Jakarta]","0.0","0.09"
"Search News","As an admin I cannot search news with invalid Api Endpoint","SUCCESS","2023-12-21T10:46:47.0394604+07:00[Asia/Jakarta]","0.0","0.12"
"Search News","As an admin I cannot search news with invalid token","SUCCESS","2023-12-21T10:46:47.1754685+07:00[Asia/Jakarta]","0.0","0.16"
"Search News","As an admin I cannot search news with invalid credentials","SUCCESS","2023-12-21T10:46:47.3604832+07:00[Asia/Jakarta]","0.0","0.1"
"Update News","As an admin I can update news with valid credentials","SUCCESS","2023-12-21T10:46:47.4764902+07:00[Asia/Jakarta]","0.0","0.13"
"Update News","As an admin I cannot update news with invalid API Endpoint","SUCCESS","2023-12-21T10:46:47.6225012+07:00[Asia/Jakarta]","0.0","0.09"
"Update News","As an admin i cannot update news with invalid request","SUCCESS","2023-12-21T10:46:47.7285086+07:00[Asia/Jakarta]","0.0","0.1"
"Update News","As an admin i cannot update news with invalid json data","SUCCESS","2023-12-21T10:46:47.8555168+07:00[Asia/Jakarta]","0.0","0.09"
"Update News","As an admin i cannot update news with invalid token","SUCCESS","2023-12-21T10:46:47.972526+07:00[Asia/Jakarta]","0.0","0.16"
"Update News","As an admin i cannot update news with invalid credentials","SUCCESS","2023-12-21T10:46:48.1605409+07:00[Asia/Jakarta]","0.0","0.19"
"Notification","As an admin I can not get notif with invalid endpoint","SUCCESS","2023-12-21T10:46:48.3835567+07:00[Asia/Jakarta]","0.0","0.11"
"Notification","As an admin I can not get notif without token","SUCCESS","2023-12-21T10:46:48.5135653+07:00[Asia/Jakarta]","0.0","0.11"
"OTP Admin","As an admin I can not send otp with invalid endpoint","SUCCESS","2023-12-21T10:46:52.1635538+07:00[Asia/Jakarta]","0.0","0.17"
"Get All News","As a user I can get all news with valid credentials","SUCCESS","2023-12-21T10:47:15.6133299+07:00[Asia/Jakarta]","0.0","0.38"
"Get All News","As a user I cannot get all news with invalid Api Endpoint","SUCCESS","2023-12-21T10:47:16.0373608+07:00[Asia/Jakarta]","0.0","0.16"
"Get All News","As a user I cannot get all news with invalid token","SUCCESS","2023-12-21T10:47:16.2203726+07:00[Asia/Jakarta]","0.0","0.1"
"Get All News","As a user I cannot get all news with invalid credentials","SUCCESS","2023-12-21T10:47:16.3373806+07:00[Asia/Jakarta]","0.0","0.13"
"Search News","As a user I cannot search news with invalid Api Endpoint","SUCCESS","2023-12-21T10:47:16.5053934+07:00[Asia/Jakarta]","0.0","0.18"
"Search News","As a user I cannot search news with invalid token","SUCCESS","2023-12-21T10:47:16.7504102+07:00[Asia/Jakarta]","0.0","0.61"
"Search News","As a user I cannot search news with invalid credentials","SUCCESS","2023-12-21T10:47:17.5754715+07:00[Asia/Jakarta]","0.0","0.37"
