"Story","Title","Result","Date","Stability","Duration (s)"
"User Login","As a user I can not login with integer password","SUCCESS","2023-12-21T10:47:01.3842352+07:00[Asia/Jakarta]","0.0","0.1"
"User Login","As a user I can not login with empty username","SUCCESS","2023-12-21T10:47:01.4962513+07:00[Asia/Jakarta]","0.0","0.14"
"User Login","As a user I can not login with empty password","SUCCESS","2023-12-21T10:47:01.6702577+07:00[Asia/Jakarta]","0.0","0.11"
"User Login","As a user I can not login with get request","SUCCESS","2023-12-21T10:47:01.7922653+07:00[Asia/Jakarta]","0.0","0.12"
"User Login","As a user I can not login with put request","SUCCESS","2023-12-21T10:47:01.9202756+07:00[Asia/Jakarta]","0.0","0.12"
"Register","As a user I can register with valid credentials","SUCCESS","2023-12-21T10:47:02.055287+07:00[Asia/Jakarta]","0.0","0.41"
"Register","As a user I cannot register with invalid email","SUCCESS","2023-12-21T10:47:02.4773158+07:00[Asia/Jakarta]","0.0","0.17"
"Register","As a user I cannot register with invalid endpoint","SUCCESS","2023-12-21T10:47:02.663331+07:00[Asia/Jakarta]","0.0","0.41"
"Register","As a user I cannot register with invalid name","SUCCESS","2023-12-21T10:47:03.0883631+07:00[Asia/Jakarta]","0.0","0.16"
"Register","As a user I cannot register with invalid username","SUCCESS","2023-12-21T10:47:03.2653804+07:00[Asia/Jakarta]","0.0","0.11"
"Register","As a user I cannot register with empty email","SUCCESS","2023-12-21T10:47:03.3933839+07:00[Asia/Jakarta]","0.0","0.13"
"Register","As a user I cannot register with invalid number phone","SUCCESS","2023-12-21T10:47:03.5303945+07:00[Asia/Jakarta]","0.0","0.14"
"Register","As a user I cannot register with invalid password","SUCCESS","2023-12-21T10:47:03.6864039+07:00[Asia/Jakarta]","0.0","0.09"
"Register","As a user I cannot register with invalid json data","SUCCESS","2023-12-21T10:47:03.7874128+07:00[Asia/Jakarta]","0.0","0.1"
"Register","As a user I cannot register with registered email","SUCCESS","2023-12-21T10:47:03.8991829+07:00[Asia/Jakarta]","0.0","0.11"
"Register","As a user I cannot register with invalid credentials","SUCCESS","2023-12-21T10:47:04.0255598+07:00[Asia/Jakarta]","0.0","0.09"
